profile,distance,stat,time_saved_per_point_mean
Sprint,4,speed,0.4806342348798446
Sprint,4,powerCore,0.7524504813277152
Sprint,4,acceleration,2.192532242582129
Sprint,4,stability,0.3922348253729684
Flat,8,speed,6.006701994793568
Flat,8,powerCore,2.693537705138199
Flat,8,acceleration,3.4197942797634076
Flat,8,stability,1.4040781654443761
Technical,7,speed,6.546315099255149
Technical,7,powerCore,3.5294310017754937
Technical,7,acceleration,6.234550647311035
Technical,7,stability,2.5171485073935225
Mountain,10,speed,17.742635834132237
Mountain,10,powerCore,11.449468013540812
Mountain,10,acceleration,15.659010789001806
Mountain,10,stability,9.012384211412868
Rolling,12,speed,13.318625641853535
Rolling,12,powerCore,7.586518343794786
Rolling,12,acceleration,7.059018727989297
Rolling,12,stability,3.474286896580596
Endurance,17,speed,57.07966222117669
Endurance,17,powerCore,39.03943248610237
Endurance,17,acceleration,13.557921435175734
Endurance,17,stability,24.936269653171003
