track_id,track_name,terrain,profile,distance,stat,time_saved_per_point_mean,time_saved_per_point_std,time_saved_per_point_min,time_saved_per_point_max
1,Scrap Mountain Circuit,ScrapHeaps,mountain,10,speed,129.36603006491015,5.684341886080802e-14,129.3660300649102,129.3660300649102
1,Scrap Mountain Circuit,ScrapHeaps,mountain,10,powerCore,102.10208041799496,2.842170943040401e-14,102.10208041799493,102.10208041799493
1,Scrap Mountain Circuit,ScrapHeaps,mountain,10,acceleration,95.09483645008551,4.263256414560601e-14,95.09483645008555,95.09483645008555
1,Scrap Mountain Circuit,ScrapHeaps,mountain,10,stability,134.8983870316387,8.526512829121202e-14,134.8983870316386,134.8983870316386
2,Highway of the Dead,MetalRoads,flat,7,speed,25.827111215326777,2.1316282072803006e-14,25.827111215326756,25.827111215326756
2,Highway of the Dead,MetalRoads,flat,7,powerCore,18.848824668966362,3.552713678800501e-15,18.848824668966365,18.848824668966365
2,Highway of the Dead,MetalRoads,flat,7,acceleration,21.483381812515418,7.105427357601002e-15,21.483381812515425,21.483381812515425
2,Highway of the Dead,MetalRoads,flat,7,stability,25.888583652664835,7.105427357601002e-15,25.888583652664828,25.888583652664828
3,Wasteland Gauntlet,WastelandSand,rolling,13,speed,69.23075151643128,7.105427357601002e-14,69.23075151643135,69.23075151643135
3,Wasteland Gauntlet,WastelandSand,rolling,13,powerCore,67.51416942493005,1.4210854715202004e-14,67.51416942493003,67.51416942493003
3,Wasteland Gauntlet,WastelandSand,rolling,13,acceleration,45.39478125737606,7.105427357601002e-15,45.39478125737607,45.39478125737607
3,Wasteland Gauntlet,WastelandSand,rolling,13,stability,37.60747485382375,0.0,37.60747485382375,37.60747485382375
4,Junkyard Sprint,ScrapHeaps,sprint,4,speed,29.307579256376815,1.4210854715202004e-14,29.30757925637683,29.30757925637683
4,Junkyard Sprint,ScrapHeaps,sprint,4,powerCore,19.060945236710864,2.1316282072803006e-14,19.060945236710886,19.060945236710886
4,Junkyard Sprint,ScrapHeaps,sprint,4,acceleration,17.741960343990396,7.105427357601002e-15,17.74196034399039,17.74196034399039
4,Junkyard Sprint,ScrapHeaps,sprint,4,stability,30.56092211767971,2.1316282072803006e-14,30.56092211767973,30.56092211767973
5,Metal Mesa Circuit,MetalRoads,technical,7,speed,40.59593755892094,2.842170943040401e-14,40.595937558920966,40.595937558920966
5,Metal Mesa Circuit,MetalRoads,technical,7,powerCore,35.847021912723385,3.552713678800501e-14,35.84702191272335,35.84702191272335
5,Metal Mesa Circuit,MetalRoads,technical,7,acceleration,28.43445041896522,1.7763568394002505e-14,28.434450418965202,28.434450418965202
5,Metal Mesa Circuit,MetalRoads,technical,7,stability,34.10603516291915,2.1316282072803006e-14,34.10603516291913,34.10603516291913
6,Dune Runner,WastelandSand,endurance,17,speed,102.3522365130029,4.263256414560601e-14,102.35223651300285,102.35223651300285
6,Dune Runner,WastelandSand,endurance,17,powerCore,99.81440451818979,4.263256414560601e-14,99.81440451818975,99.81440451818975
6,Dune Runner,WastelandSand,endurance,17,acceleration,68.3212794906773,7.105427357601002e-14,68.32127949067737,68.32127949067737
6,Dune Runner,WastelandSand,endurance,17,stability,59.91363600647082,4.973799150320701e-14,59.91363600647077,59.91363600647077
7,Rust Belt Rally,MetalRoads,flat,9,speed,2.100414971484951,1.3322676295501878e-15,2.1004149714849496,2.1004149714849496
7,Rust Belt Rally,MetalRoads,flat,9,powerCore,1.0702348925358771,1.1102230246251565e-15,1.070234892535876,1.070234892535876
7,Rust Belt Rally,MetalRoads,flat,9,acceleration,1.3471190883861524,8.881784197001252e-16,1.3471190883861532,1.3471190883861532
7,Rust Belt Rally,MetalRoads,flat,9,stability,0.9049083239253497,3.3306690738754696e-16,0.90490832392535,0.90490832392535
8,Debris Field Dash,ScrapHeaps,technical,7,speed,86.98411366608299,1.4210854715202004e-14,86.98411366608298,86.98411366608298
8,Debris Field Dash,ScrapHeaps,technical,7,powerCore,65.34549201715876,7.105427357601002e-14,65.34549201715869,65.34549201715869
8,Debris Field Dash,ScrapHeaps,technical,7,acceleration,62.55873399625626,2.842170943040401e-14,62.55873399625629,62.55873399625629
8,Debris Field Dash,ScrapHeaps,technical,7,stability,90.70400185461071,5.684341886080802e-14,90.70400185461065,90.70400185461065
9,Velocity Viaduct,MetalRoads,sprint,5,speed,1.0629440106444654,6.661338147750939e-16,1.062944010644466,1.062944010644466
9,Velocity Viaduct,MetalRoads,sprint,5,powerCore,0.6452823180246449,3.3306690738754696e-16,0.6452823180246452,0.6452823180246452
9,Velocity Viaduct,MetalRoads,sprint,5,acceleration,0.6790552013359954,4.440892098500626e-16,0.6790552013359958,0.6790552013359958
9,Velocity Viaduct,MetalRoads,sprint,5,stability,0.4579413573779479,3.3306690738754696e-16,0.4579413573779482,0.4579413573779482
10,Sandstorm Circuit,WastelandSand,rolling,11,speed,49.994173769985395,7.105427357601002e-15,49.99417376998539,49.99417376998539
10,Sandstorm Circuit,WastelandSand,rolling,11,powerCore,48.75456418185877,0.0,48.75456418185877,48.75456418185877
10,Sandstorm Circuit,WastelandSand,rolling,11,acceleration,30.71786806915406,3.552713678800501e-15,30.717868069154058,30.717868069154058
10,Sandstorm Circuit,WastelandSand,rolling,11,stability,28.20195230029101,1.0658141036401503e-14,28.20195230029102,28.20195230029102
