team_size,sim_num,bot_type,faction,class,token_id,rating,side,won,duration_ticks,damage_dealt,healing_done,damage_taken,died
2,0,Blackhole_Tactician,Blackhole,Tactician,4463,33,party,True,5,994.1520467836257,0.0,0,True
2,0,Dead_Fixer,Dead,Fixer,6113,31,party,True,5,608.2068488057793,1435.1413763405717,0,False
2,0,Game_Fixer,Game,Fixer,3152,26,enemy,False,5,0.0,0.0,0,True
2,0,Industrial_Tactician,Industrial,Tactician,1342,28,enemy,False,5,1222.5531729780382,0.0,0,True
2,1,Food_Fixer,Food,Fixer,3804,15,party,True,4,148.9608979310545,0.0,0,False
2,1,Murder_Bulwark,Murder,Bulwark,1424,17,party,True,4,1221.784265534869,0.0,0,False
2,1,Industrial_Fixer,Industrial,Fixer,8425,13,enemy,False,4,0.0,311.6080626496999,0,True
2,1,Murder_Fixer,Murder,Fixer,9651,14,enemy,False,4,148.9608979310545,0.0,0,True
2,2,Bee_Striker,Bee,Striker,8573,17,party,True,6,850.9418872276399,0.0,0,False
2,2,Industrial_Fixer,Industrial,Fixer,3122,16,party,True,6,304.76190476190476,314.9439838730361,0,True
2,2,Master_Bulwark,Master,Bulwark,5859,23,enemy,False,6,0.0,0.0,0,True
2,2,Food_Tactician,Food,Tactician,825,21,enemy,False,6,944.8319516191082,0.0,0,True
2,3,Dead_Fixer,Dead,Fixer,3348,25,party,True,3,372.3689870264214,0.0,0,False
2,3,Industrial_Tactician,Industrial,Tactician,5702,26,party,True,3,1609.0426141833427,0.0,0,False
2,3,Box_Tactician,Box,Tactician,2116,20,enemy,False,3,0.0,0.0,0,True
2,3,Game_Bulwark,Game,Bulwark,8976,23,enemy,False,3,0.0,0.0,0,True
2,4,Dead_Fixer,Dead,Fixer,8550,36,party,False,5,222.20137096979795,0.0,0,True
2,4,Dead_Fixer,Dead,Fixer,766,35,party,False,5,196.71834911906862,0.0,0,True
2,4,Golden_Striker,Golden,Striker,947,45,enemy,True,5,1027.1755634113172,0.0,0,False
2,4,Golden_Striker,Golden,Striker,5677,45,enemy,True,5,2056.33217901822,0.0,0,False
2,5,Murder_Striker,Murder,Striker,6655,16,party,False,3,0.0,0.0,0,True
2,5,Food_Fixer,Food,Fixer,6780,17,party,False,3,156.6976009735928,0.0,0,True
2,5,Master_Bulwark,Master,Bulwark,5584,27,enemy,True,3,521.8444400521876,0.0,0,False
2,5,Master_Bulwark,Master,Bulwark,4136,25,enemy,True,3,471.566521466344,0.0,0,False
2,6,Game_Bulwark,Game,Bulwark,9244,13,party,False,7,340.9548833797003,0.0,0,True
2,6,Game_Fixer,Game,Fixer,8765,13,party,False,7,256.0515879311442,0.0,0,True
2,6,Game_Bulwark,Game,Bulwark,2093,14,enemy,True,7,0.0,0.0,0,True
2,6,Industrial_Bulwark,Industrial,Bulwark,2155,14,enemy,True,7,996.7102816388017,0.0,0,False
2,7,Ultimate-master_Striker,Ultimate-master,Striker,8221,69,party,True,4,2543.408163347307,0.0,0,False
2,7,Wild_Fixer,Wild,Fixer,2177,65,party,True,4,313.41575254467017,0.0,0,True
2,7,Industrial_Tactician,Industrial,Tactician,4578,13,enemy,False,4,689.0194917762462,0.0,0,True
2,7,Industrial_Bulwark,Industrial,Bulwark,4727,14,enemy,False,4,626.3691766488007,0.0,0,True
2,8,Industrial_Tactician,Industrial,Tactician,2539,23,party,True,3,1960.5098428910474,0.0,0,False
2,8,Game_Bulwark,Game,Bulwark,3827,24,party,True,3,459.81126781521755,0.0,0,True
