bot_type,win_rate,games,damage_dealt,avg_rating,survival_rate
Animal_Bulwark,19.15,47,312.92,17.45,8.51
Animal_Fixer,11.59,69,136.21,17.19,7.25
Animal_Striker,23.71,97,392.65,19.65,20.62
Animal_Tactician,43.43,99,799.72,19.76,32.32
Bee_Bulwark,26.32,19,469.23,21.53,5.26
Bee_Fixer,16.67,12,106.77,17.08,16.67
Bee_Striker,37.04,54,444.82,20.54,33.33
Bee_Tactician,37.29,59,559.77,18.44,27.12
Blackhole_Bulwark,82.69,104,985.4,39.06,61.54
Blackhole_Fixer,61.06,208,395.09,37.57,44.71
Blackhole_Striker,41.38,29,851.16,33.28,37.93
Blackhole_Tactician,85.85,205,1548.93,37.49,57.07
Box_Bulwark,41.07,56,509.81,25.93,26.79
Box_Fixer,46.15,52,313.31,26.46,38.46
Box_Striker,42.65,68,505.31,24.94,36.76
Box_Tactician,42.25,71,868.3,22.54,28.17
Dead_Bulwark,70.15,67,886.66,35.57,49.25
Dead_Fixer,52.38,231,410.48,34.04,35.5
Dead_Striker,50.94,53,946.75,34.42,43.4
Dead_Tactician,67.2,125,1521.09,32.98,40.0
Food_Bulwark,34.38,32,297.0,20.03,12.5
Food_Fixer,5.88,17,196.13,19.76,5.88
Food_Striker,28.57,70,429.93,21.51,24.29
Food_Tactician,7.69,13,243.36,15.92,7.69
Game_Bulwark,34.48,87,411.75,20.51,16.09
Game_Fixer,26.0,100,214.06,20.94,21.0
Game_Striker,27.54,69,549.79,19.87,24.64
Game_Tactician,50.0,38,838.48,21.08,28.95
Golden_Striker,59.43,387,1766.8,45.56,39.28
Industrial_Bulwark,26.92,52,451.49,20.19,19.23
Industrial_Fixer,24.39,164,206.52,19.27,19.51
Industrial_Striker,29.63,27,344.69,20.63,22.22
Industrial_Tactician,39.62,260,770.3,20.03,25.77
Master_Bulwark,56.82,88,728.05,32.02,43.18
Master_Fixer,39.02,82,296.22,30.17,29.27
Master_Striker,51.69,118,938.98,30.15,45.76
Master_Tactician,61.76,68,864.69,28.18,42.65
Murder_Bulwark,28.95,38,423.18,20.37,23.68
Murder_Fixer,23.61,72,230.97,21.04,20.83
Murder_Striker,28.57,63,350.11,22.56,28.57
Murder_Tactician,45.24,42,782.67,19.14,26.19
Ultimate-master_Striker,93.02,43,1203.74,69.0,90.7
Ultimate_Bulwark,80.29,137,1020.17,39.65,59.12
Ultimate_Fixer,73.88,134,475.34,43.66,43.28
Ultimate_Tactician,70.83,24,904.93,41.38,66.67
Wild_Fixer,93.02,43,782.57,65.0,67.44
Wild_Striker,57.14,7,1031.46,37.0,57.14
